barangay_id,barangay_name,city_id
1,Barangay 1,1
2,Barangay 10,1
3,Barangay 100,1
4,Barangay 101,1
5,Barangay 102,1
6,Barangay 103,1
7,Barangay 104,1
8,Barangay 105,1
9,Barangay 106,1
10,Barangay 107,1
11,Barangay 108,1
12,Barangay 109,1
13,Barangay 11,1
14,Barangay 110,1
15,Barangay 111,1
16,Barangay 112,1
17,Barangay 113,1
18,Barangay 114,1
19,Barangay 115,1
20,Barangay 116,1
21,Barangay 117,1
22,Barangay 118,1
23,Barangay 119,1
24,Barangay 12,1
25,Barangay 120,1
26,Barangay 121,1
27,Barangay 122,1
28,Barangay 123,1
29,Barangay 124,1
30,Barangay 125,1
31,Barangay 126,1
32,Barangay 127,1
33,Barangay 128,1
34,Barangay 129,1
35,Barangay 13,1
36,Barangay 130,1
37,Barangay 131,1
38,Barangay 132,1
39,Barangay 133,1
40,Barangay 134,1
41,Barangay 135,1
42,Barangay 136,1
43,Barangay 137,1
44,Barangay 138,1
45,Barangay 139,1
46,Barangay 14,1
47,Barangay 140,1
48,Barangay 141,1
49,Barangay 142,1
50,Barangay 143,1
51,Barangay 144,1
52,Barangay 145,1
53,Barangay 146,1
54,Barangay 147,1
55,Barangay 148,1
56,Barangay 149,1
57,Barangay 15,1
58,Barangay 150,1
59,Barangay 151,1
60,Barangay 152,1
61,Barangay 153,1
62,Barangay 154,1
63,Barangay 155,1
64,Barangay 156,1
65,Barangay 157,1
66,Barangay 158,1
67,Barangay 159,1
68,Barangay 16,1
69,Barangay 160,1
70,Barangay 161,1
71,Barangay 162,1
72,Barangay 163,1
73,Barangay 164,1
74,Barangay 165,1
75,Barangay 166,1
76,Barangay 167,1
77,Barangay 168,1
78,Barangay 169,1
79,Barangay 17,1
80,Barangay 170,1
81,Barangay 171,1
82,Barangay 172,1
83,Barangay 173,1
84,Barangay 174,1
85,Barangay 175,1
86,Barangay 176,1
87,Barangay 177,1
88,Barangay 178,1
89,Barangay 179,1
90,Barangay 18,1
91,Barangay 180,1
92,Barangay 181,1
93,Barangay 182,1
94,Barangay 183,1
95,Barangay 184,1
96,Barangay 185,1
97,Barangay 186,1
98,Barangay 187,1
99,Barangay 188,1
100,Barangay 19,1
101,Barangay 2,1
102,Barangay 20,1
103,Barangay 21,1
104,Barangay 22,1
105,Barangay 23,1
106,Barangay 24,1
107,Barangay 25,1
108,Barangay 26,1
109,Barangay 27,1
110,Barangay 28,1
111,Barangay 29,1
112,Barangay 3,1
113,Barangay 30,1
114,Barangay 31,1
115,Barangay 32,1
116,Barangay 33,1
117,Barangay 34,1
118,Barangay 35,1
119,Barangay 36,1
120,Barangay 37,1
121,Barangay 38,1
122,Barangay 39,1
123,Barangay 4,1
124,Barangay 40,1
125,Barangay 41,1
126,Barangay 42,1
127,Barangay 43,1
128,Barangay 44,1
129,Barangay 45,1
130,Barangay 46,1
131,Barangay 47,1
132,Barangay 48,1
133,Barangay 49,1
134,Barangay 5,1
135,Barangay 50,1
136,Barangay 51,1
137,Barangay 52,1
138,Barangay 53,1
139,Barangay 54,1
140,Barangay 55,1
141,Barangay 56,1
142,Barangay 57,1
143,Barangay 58,1
144,Barangay 59,1
145,Barangay 6,1
146,Barangay 60,1
147,Barangay 61,1
148,Barangay 62,1
149,Barangay 63,1
150,Barangay 64,1
151,Barangay 65,1
152,Barangay 66,1
153,Barangay 67,1
154,Barangay 68,1
155,Barangay 69,1
156,Barangay 7,1
157,Barangay 70,1
158,Barangay 71,1
159,Barangay 72,1
160,Barangay 73,1
161,Barangay 74,1
162,Barangay 75,1
163,Barangay 76,1
164,Barangay 77,1
165,Barangay 78,1
166,Barangay 79,1
167,Barangay 8,1
168,Barangay 80,1
169,Barangay 81,1
170,Barangay 82,1
171,Barangay 83,1
172,Barangay 84,1
173,Barangay 85,1
174,Barangay 86,1
175,Barangay 87,1
176,Barangay 88,1
177,Barangay 89,1
178,Barangay 9,1
179,Barangay 90,1
180,Barangay 91,1
181,Barangay 92,1
182,Barangay 93,1
183,Barangay 94,1
184,Barangay 95,1
185,Barangay 96,1
186,Barangay 97,1
187,Barangay 98,1
188,Barangay 99,1
189,Almanza Dos,2
190,Almanza Uno,2
191,B. F. International Village,2
192,Daniel Fajardo,2
193,Elias Aldana,2
194,Ilaya,2
195,Manuyo Dos,2
196,Manuyo Uno,2
197,Pamplona Dos,2
198,Pamplona Tres,2
199,Pamplona Uno,2
200,Pilar,2
201,Pulang Lupa Dos,2
202,Pulang Lupa Uno,2
203,Talon Dos,2
204,Talon Kuatro,2
205,Talon Singko,2
206,Talon Tres,2
207,Talon Uno,2
208,Zapote,2
209,Bangkal,3
210,Bel-Air,3
211,Carmona,3
212,Cembo,3
213,Comembo,3
214,Dasmariñas,3
215,East Rembo,3
216,Forbes Park,3
217,Guadalupe Nuevo,3
218,Guadalupe Viejo,3
219,Kasilawan,3
220,La Paz,3
221,Magallanes,3
222,Olympia,3
223,Palanan,3
224,Pembo,3
225,Pinagkaisahan,3
226,Pio Del Pilar,3
227,Pitogo,3
228,Poblacion,3
229,Post Proper Northside,3
230,Post Proper Southside,3
231,Rizal,3
232,San Antonio,3
233,San Isidro,3
234,San Lorenzo,3
235,Santa Cruz,3
236,Singkamas,3
237,South Cembo,3
238,Tejeros,3
239,Urdaneta,3
240,Valenzuela,3
241,West Rembo,3
242,Acacia,4
243,Baritan,4
244,Bayan-bayanan,4
245,Catmon,4
246,Concepcion,4
247,Dampalit,4
248,Flores,4
249,Hulong Duhat,4
250,Ibaba,4
251,Longos,4
252,Maysilo,4
253,Muzon,4
254,Niugan,4
255,Panghulo,4
256,Potrero,4
257,San Agustin,4
258,Santolan,4
259,Tañong (Pob.),4
260,Tinajeros,4
261,Tonsuya,4
262,Tugatog,4
263,Addition Hills,5
264,Bagong Silang,5
265,Barangka Drive,5
266,Barangka Ibaba,5
267,Barangka Ilaya,5
268,Barangka Itaas,5
269,Buayang Bato,5
270,Burol,5
271,Daang Bakal,5
272,Hagdang Bato Itaas,5
273,Hagdang Bato Libis,5
274,Harapin Ang Bukas,5
275,Highway Hills,5
276,Hulo,5
277,Mabini-J. Rizal,5
278,Malamig,5
279,Mauway,5
280,Namayan,5
281,New Zañiga,5
282,Old Zañiga,5
283,Pag-asa,5
284,Plainview,5
285,Pleasant Hills,5
286,Poblacion,5
287,San Jose,5
288,Vergara,5
289,Wack-wack Greenhills,5
290,Barangay 1,6
291,Barangay 10,6
292,Barangay 100,6
293,Barangay 101,6
294,Barangay 102,6
295,Barangay 103,6
296,Barangay 104,6
297,Barangay 105,6
298,Barangay 106,6
299,Barangay 107,6
300,Barangay 108,6
301,Barangay 109,6
302,Barangay 11,6
303,Barangay 110,6
304,Barangay 111,6
305,Barangay 112,6
306,Barangay 116,6
307,Barangay 117,6
308,Barangay 118,6
309,Barangay 119,6
310,Barangay 12,6
311,Barangay 120,6
312,Barangay 121,6
313,Barangay 122,6
314,Barangay 123,6
315,Barangay 124,6
316,Barangay 125,6
317,Barangay 126,6
318,Barangay 127,6
319,Barangay 128,6
320,Barangay 129,6
321,Barangay 13,6
322,Barangay 130,6
323,Barangay 131,6
324,Barangay 132,6
325,Barangay 133,6
326,Barangay 134,6
327,Barangay 135,6
328,Barangay 136,6
329,Barangay 137,6
330,Barangay 138,6
331,Barangay 139,6
332,Barangay 14,6
333,Barangay 140,6
334,Barangay 141,6
335,Barangay 142,6
336,Barangay 143,6
337,Barangay 144,6
338,Barangay 145,6
339,Barangay 146,6
340,Barangay 147,6
341,Barangay 148,6
342,Barangay 149,6
343,Barangay 15,6
344,Barangay 150,6
345,Barangay 151,6
346,Barangay 152,6
347,Barangay 153,6
348,Barangay 154,6
349,Barangay 155,6
350,Barangay 156,6
351,Barangay 157,6
352,Barangay 158,6
353,Barangay 159,6
354,Barangay 16,6
355,Barangay 160,6
356,Barangay 161,6
357,Barangay 162,6
358,Barangay 163,6
359,Barangay 164,6
360,Barangay 165,6
361,Barangay 166,6
362,Barangay 167,6
363,Barangay 168,6
364,Barangay 169,6
365,Barangay 17,6
366,Barangay 170,6
367,Barangay 171,6
368,Barangay 172,6
369,Barangay 173,6
370,Barangay 174,6
371,Barangay 175,6
372,Barangay 176,6
373,Barangay 177,6
374,Barangay 178,6
375,Barangay 179,6
376,Barangay 18,6
377,Barangay 180,6
378,Barangay 181,6
379,Barangay 182,6
380,Barangay 183,6
381,Barangay 184,6
382,Barangay 185,6
383,Barangay 186,6
384,Barangay 187,6
385,Barangay 188,6
386,Barangay 189,6
387,Barangay 19,6
388,Barangay 190,6
389,Barangay 191,6
390,Barangay 192,6
391,Barangay 193,6
392,Barangay 194,6
393,Barangay 195,6
394,Barangay 196,6
395,Barangay 197,6
396,Barangay 198,6
397,Barangay 199,6
398,Barangay 2,6
399,Barangay 20,6
400,Barangay 200,6
401,Barangay 201,6
402,Barangay 202,6
403,Barangay 202-A,6
404,Barangay 203,6
405,Barangay 204,6
406,Barangay 205,6
407,Barangay 206,6
408,Barangay 207,6
409,Barangay 208,6
410,Barangay 209,6
411,Barangay 210,6
412,Barangay 211,6
413,Barangay 212,6
414,Barangay 213,6
415,Barangay 214,6
416,Barangay 215,6
417,Barangay 216,6
418,Barangay 217,6
419,Barangay 218,6
420,Barangay 219,6
421,Barangay 220,6
422,Barangay 221,6
423,Barangay 222,6
424,Barangay 223,6
425,Barangay 224,6
426,Barangay 225,6
427,Barangay 226,6
428,Barangay 227,6
429,Barangay 228,6
430,Barangay 229,6
431,Barangay 230,6
432,Barangay 231,6
433,Barangay 232,6
434,Barangay 233,6
435,Barangay 234,6
436,Barangay 235,6
437,Barangay 236,6
438,Barangay 237,6
439,Barangay 238,6
440,Barangay 239,6
441,Barangay 240,6
442,Barangay 241,6
443,Barangay 242,6
444,Barangay 243,6
445,Barangay 244,6
446,Barangay 245,6
447,Barangay 246,6
448,Barangay 247,6
449,Barangay 248,6
450,Barangay 249,6
451,Barangay 25,6
452,Barangay 250,6
453,Barangay 251,6
454,Barangay 252,6
455,Barangay 253,6
456,Barangay 254,6
457,Barangay 255,6
458,Barangay 256,6
459,Barangay 257,6
460,Barangay 258,6
461,Barangay 259,6
462,Barangay 26,6
463,Barangay 260,6
464,Barangay 261,6
465,Barangay 262,6
466,Barangay 263,6
467,Barangay 264,6
468,Barangay 265,6
469,Barangay 266,6
470,Barangay 267,6
471,Barangay 28,6
472,Barangay 29,6
473,Barangay 3,6
474,Barangay 30,6
475,Barangay 31,6
476,Barangay 32,6
477,Barangay 33,6
478,Barangay 34,6
479,Barangay 35,6
480,Barangay 36,6
481,Barangay 37,6
482,Barangay 38,6
483,Barangay 39,6
484,Barangay 4,6
485,Barangay 41,6
486,Barangay 42,6
487,Barangay 43,6
488,Barangay 44,6
489,Barangay 45,6
490,Barangay 46,6
491,Barangay 47,6
492,Barangay 48,6
493,Barangay 49,6
494,Barangay 5,6
495,Barangay 50,6
