city_id,city_name,province_id
1,Caloocan City,1
2,Las Pinas City,1
3,Makati City,1
4,Malabon City,1
5,Mandaluyong City,1
6,Manila - Tondo,1
7,Marikina City,1
8,Muntinlupa City,1
9,Navotas,1
10,Paranaque City,1
11,Pasay City,1
12,Pasig City,1
13,Pateros,1
14,Quezon City,1
15,San Juan,1
16,Taguig,1
17,Valenzuela City,1
18,Manila - Binondo,1
19,Manila - Quiapo,1
20,Manila - San Nicolas,1
21,Manila - Sta. Cruz,1
22,Manila - Sampaloc,1
23,Manila - San Miguel,1
24,Manila - Ermita,1
25,Manila - Intramuros,1
26,Manila - Malate,1
27,Manila - Paco,1
28,Manila - Pandacan,1
29,Manila - Port Area,1
30,Manila - Sta. Ana,1
31,Mountain Province - Tadian,7
32,Mountain Province - Barlig,7
33,Mountain Province - Bauko,7
34,Mountain Province - Besao,7
35,Mountain Province - Bontoc (Capital),7
36,Mountain Province - Natonin,7
37,Mountain Province - Paracelis,7
38,Mountain Province - Sabangan,7
39,Mountain Province - Sadanga,7
40,Mountain Province - Sagada,7
41,Kalinga - BALBALAN,6
42,Kalinga - LUBUAGAN,6
43,Kalinga - PASIL,6
44,Kalinga - PINUKPUK,6
45,Kalinga - RIZAL (LIWAN),6
46,Kalinga - CITY OF TABUK (Capital),6
47,Kalinga - TANUDAN,6
48,Kalinga - TINGLAYAN,6
49,Ifugao - BANAUE,5
50,Ifugao - HUNGDUAN,5
51,Ifugao - KIANGAN,5
52,Ifugao - LAGAWE (Capital),5
53,Ifugao - LAMUT,5
54,Ifugao - MAYOYAO,5
55,Ifugao - ALFONSO LISTA (POTIA),5
56,Ifugao - AGUINALDO,5
57,Ifugao - HINGYON,5
58,Ifugao - TINOC,5
59,Ifugao - ASIPULO,5
60,Apayao - CALANASAN (BAYAG),3
61,Apayao - CONNER,3
62,Apayao - FLORA,3
63,Apayao - KABUGAO (Capital),3
64,Apayao - LUNA,3
65,Apayao - PUDTOL,3
66,Apayao - SANTA MARCELA,3
67,Benguet - ATOK,4
68,Benguet - BAGUIO CITY,4
69,Benguet - BAKUN,4
70,Benguet - BOKOD,4
71,Benguet - BUGUIAS,4
72,Benguet - ITOGON,4
73,Benguet - KABAYAN,4
74,Benguet - KAPANGAN,4
75,Benguet - KIBUNGAN,4
76,Benguet - LA TRINIDAD (Capital),4
77,Benguet - MANKAYAN,4
78,Benguet - SABLAN,4
79,Benguet - TUBA,4
80,Benguet - TUBLAY,4
81,Abra - BANGUED (Capital),2
82,Abra - BOLINEY,2
83,Abra - BUCAY,2
84,Abra - BUCLOC,2
85,Abra - DAGUIOMAN,2
86,Abra - DANGLAS,2
87,Abra - DOLORES,2
88,Abra - LA PAZ,2
89,Abra - LACUB,2
90,Abra - LAGANGILANG,2
91,Abra - LAGAYAN,2
92,Abra - LANGIDEN,2
93,Abra - LICUAN-BAAY (LICUAN),2
94,Abra - LUBA,2
95,Abra - MALIBCONG,2
96,Abra - MANABO,2
97,Abra - PEÑARRUBIA,2
98,Abra - PIDIGAN,2
99,Abra - PILAR,2
100,Abra - SALLAPADAN,2
101,Abra - SAN ISIDRO,2
102,Abra - SAN JUAN,2
103,Abra - SAN QUINTIN,2
104,Abra - TAYUM,2
105,Abra - TINEG,2
106,Abra - TUBO,2
107,Abra - VILLAVICIOSA,2
108,Ilocos Norte - ADAMS,8
109,Ilocos Norte - BACARRA,8
110,Ilocos Norte - BADOC,8
111,Ilocos Norte - BANGUI,8
112,Ilocos Norte - CITY OF BATAC,8
113,Ilocos Norte - BURGOS,8
114,Ilocos Norte - CARASI,8
115,Ilocos Norte - CURRIMAO,8
116,Ilocos Norte - DINGRAS,8
117,Ilocos Norte - DUMALNEG,8
118,Ilocos Norte - BANNA (ESPIRITU),8
119,Ilocos Norte - LAOAG CITY (Capital),8
120,Ilocos Norte - MARCOS,8
121,Ilocos Norte - NUEVA ERA,8
122,Ilocos Norte - PAGUDPUD,8
123,Ilocos Norte - PAOAY,8
124,Ilocos Norte - PASUQUIN,8
125,Ilocos Norte - PIDDIG,8
126,Ilocos Norte - PINILI,8
127,Ilocos Norte - SAN NICOLAS,8
128,Ilocos Norte - SARRAT,8
129,Ilocos Norte - SOLSONA,8
130,Ilocos Norte - VINTAR,8
131,Ilocos Sur - ALILEM,9
132,Ilocos Sur - BANAYOYO,9
133,Ilocos Sur - BANTAY,9
134,Ilocos Sur - BURGOS,9
135,Ilocos Sur - CABUGAO,9
136,Ilocos Sur - CITY OF CANDON,9
137,Ilocos Sur - CAOAYAN,9
138,Ilocos Sur - CERVANTES,9
139,Ilocos Sur - GALIMUYOD,9
140,Ilocos Sur - GREGORIO DEL PILAR (CONCEPCION),9
141,Ilocos Sur - LIDLIDDA,9
142,Ilocos Sur - MAGSINGAL,9
143,Ilocos Sur - NAGBUKEL,9
144,Ilocos Sur - NARVACAN,9
145,Ilocos Sur - QUIRINO (ANGKAKI),9
146,Ilocos Sur - SALCEDO (BAUGEN),9
147,Ilocos Sur - SAN EMILIO,9
148,Ilocos Sur - SAN ESTEBAN,9
149,Ilocos Sur - SAN ILDEFONSO,9
