province_id,province_name,region_id
1,Metro Manila,17
2,Abra,1
3,Apayao,1
4,Benguet,1
5,Ifugao,1
6,Kalinga,1
7,Mountain Province,1
8,Ilocos Norte,2
9,Ilocos Sur,2
10,La Union,2
11,Pangasinan,2
12,Batanes,3
13,Cagayan,3
14,Isabela,3
15,Nueva Vizcaya,3
16,Quirino,3
17,AURORA,4
18,BATAAN,4
19,BULACAN,4
20,NUEVA ECIJA,4
21,PAMPANGA,4
22,TARLAC,4
23,ZAMBALES,4
24,BATANGAS,5
25,CAVITE,5
26,LAGUNA,5
27,QUEZON,5
28,RIZAL,5
29,MARINDUQUE,6
30,OCCIDENTAL MINDORO,6
31,ORIENTAL MINDORO,6
32,PALAWAN,6
33,ROMBLON,6
34,ALBAY,7
35,CAMARINES NORTE,7
36,CAMARINES SUR,7
37,CATANDUANES,7
38,MASBATE,7
39,SORSOGON,7
40,AKLAN,8
41,ANTIQUE,8
42,CAPIZ,8
43,GUIMARAS,8
44,ILOILO,8
45,NEGROS OCCIDENTAL,8
46,BOHOL,9
47,CEBU,9
48,NEGROS ORIENTAL,9
49,SIQUIJOR,9
50,BILIRAN,10
51,EASTERN SAMAR,10
52,LEYTE,10
53,NORTHERN SAMAR,10
54,SAMAR (WESTERN SAMAR),10
55,SOUTHERN LEYTE,10
56,CITY OF ISABELA,11
57,ZAMBOANGA DEL NORTE,11
58,ZAMBOANGA DEL SUR,11
59,ZAMBOANGA SIBUGAY,11
60,BUKIDNON,12
61,CAMIGUIN,12
62,LANAO DEL NORTE,12
63,MISAMIS OCCIDENTAL,12
64,MISAMIS ORIENTAL,12
65,COMPOSTELA VALLEY,13
66,DAVAO DEL NORTE,13
67,DAVAO DEL SUR,13
68,DAVAO ORIENTAL,13
69,COTABATO (NORTH COTABATO),14
70,COTABATO CITY,14
71,SARANGANI,14
72,SOUTH COTABATO,14
73,SULTAN KUDARAT,14
74,AGUSAN DEL NORTE,15
75,AGUSAN DEL SUR,15
76,DINAGAT ISLANDS,15
77,SURIGAO DEL NORTE,15
78,SURIGAO DEL SUR,15
79,BASILAN,16
80,LANAO DEL SUR,16
81,MAGUINDANAO,16
82,SULU,16
83,TAWI-TAWI,16
