region_id,region_name,island_id
1,CAR (Cordillera Administrative Region),1
2,Region-01 (Ilocos Region),1
3,Region-02 (Cagayan Valley),1
4,Region-03 (Central Luzon),1
5,Region-04A (CALABARZON),1
6,Region-04B (MIMAROPA),1
7,Region-05 (Bicol Region),1
8,Region-06 (Western Visayas),2
9,Region-07 (Central Visayas),2
10,Region-08 (Eastern Visayas),2
11,Region-09 (Zamboanga),3
12,Region-10 (Northern Mindanao),3
13,Region-11 (Davao Region),3
14,Region-12 (SOCCSKSARGEN),3
15,Region-13 (Caraga),3
16,ARMM (Autonomous Region in Muslim Mindanao),3
17,NCR (National Capital Region),1
